#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cycle, obs_G3d_cycle, obs_Rn3d_cycle, clm_Rn3d_cycle, clm_G3d_cycle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle
91, 4.428, 3.99215, 63.1852, 38.8319, 4.88547, 4.68395, 73.4064, 59.2238, 4.58945, 157.373, 143.272, 9.59629, 53.0473, 6.58874, 13.7704
92, 4.58638, 4.29962, 66.8328, 39.8258, 4.96496, 4.8484, 76.7096, 60.3875, 4.79309, 160.958, 147.028, 9.45556, 56.5692, 5.38472, 14.7557
93, 4.82123, 4.24166, 65.8204, 35.8435, 5.10999, 4.81958, 78.0238, 51.2586, 4.50054, 150.506, 132.597, 3.54398, 55.781, 3.36865, 18.8741
94, 5.10336, 4.39546, 67.641, 35.4387, 5.37191, 5.01107, 80.0967, 46.9978, 5.27028, 151.591, 135.338, 7.67962, 55.8952, 5.81621, 18.3853
95, 4.72743, 4.20951, 62.218, 30.9573, 4.77408, 4.68916, 73.892, 46.6728, 1.28369, 128.756, 115.397, -3.44545, 46.7706, 11.5954, 15.5259
96, 4.77234, 4.03281, 67.3743, 36.6109, 4.96312, 4.71335, 81.7544, 57.1265, 2.55516, 159.176, 143.261, 3.98914, 51.1726, 10.6071, 19.9747
97, 4.97466, 4.15732, 64.5872, 35.1904, 5.08461, 4.77586, 75.0592, 55.6538, 2.20161, 151.153, 134.628, 3.49025, 51.4367, 5.89739, 17.725
98, 5.16516, 4.1974, 68.9569, 41.8475, 5.36458, 4.96988, 79.8862, 61.517, 3.96236, 164.302, 148.761, 6.92773, 55.8718, 7.20822, 16.8062
99, 5.32733, 4.45382, 77.2957, 40.7442, 5.66571, 5.23077, 89.2659, 59.4383, 5.97156, 178.653, 161.83, 12.0184, 64.1939, 7.55751, 17.5145
100, 5.84959, 4.3896, 74.915, 40.3423, 5.48574, 5.15955, 84.682, 64.6191, 4.13834, 177.175, 156.984, 7.83483, 65.9342, 1.55719, 17.1906
101, 5.98838, 4.39082, 77.6978, 42.4488, 5.79424, 5.26502, 83.8449, 61.8628, 4.5829, 172.891, 154.083, 8.23236, 64.7882, 3.04092, 16.0158
102, 5.76136, 4.47817, 75.2971, 37.5195, 5.81546, 5.23149, 80.1783, 57.0873, 3.83736, 160.259, 143.212, 6.10841, 59.9346, 5.69337, 14.5503
103, 5.45892, 4.54435, 73.5799, 30.5872, 5.46233, 5.2491, 84.4493, 47.3343, 2.43178, 153.282, 137.859, 5.7975, 60.8435, 7.27299, 16.3328
104, 5.163, 4.77991, 61.2122, 16.7092, 5.34333, 5.19046, 77.8976, 35.5782, 4.28249, 127.275, 114.985, 2.01029, 53.3331, 7.93253, 16.632
105, 5.42005, 4.22897, 68.845, 35.1501, 5.15854, 4.86763, 81.0037, 55.0664, 2.28914, 145.616, 128.402, -5.88855, 48.7356, 10.5504, 21.7176
106, 5.92149, 4.13955, 81.6021, 43.626, 5.26213, 4.81288, 87.7054, 71.8242, 2.36561, 183.992, 163.473, 3.17826, 57.9801, 8.35311, 21.372
107, 6.04016, 4.24422, 73.5859, 40.5654, 5.58037, 4.91355, 85.0661, 64.2929, 2.27454, 169.165, 154.802, 4.67323, 62.6045, 1.5698, 20.8918
108, 5.54759, 4.57472, 70.0578, 28.0859, 5.56472, 5.05972, 80.2274, 47.3322, 1.92521, 145.979, 134.199, 6.04727, 58.2663, 3.11986, 18.8413
109, 5.40142, 4.63629, 65.1937, 22.6033, 5.44684, 5.15664, 75.9366, 41.4612, 3.28901, 127.875, 117.352, 1.10611, 50.1439, 9.4099, 16.3828
110, 6.17678, 4.17092, 78.4503, 38.6861, 5.51516, 5.02785, 86.0606, 65.0798, 3.49976, 167.869, 154.956, 3.73954, 58.2106, 8.08898, 19.761
111, 6.15951, 4.29964, 84.01, 40.9373, 5.72632, 5.06275, 89.8783, 68.0123, 2.50703, 181.186, 166.554, 7.75808, 65.0062, 3.34258, 21.5295
112, 6.13865, 4.3683, 82.3438, 36.1331, 5.77083, 5.19458, 90.0848, 60.5474, 3.59867, 172.398, 158.672, 7.61636, 63.9739, 6.13648, 19.9744
113, 5.91783, 4.56884, 80.2439, 42.5272, 5.73648, 5.4585, 89.8289, 65.1036, 4.76432, 180.138, 166.81, 11.4515, 63.7504, 5.38409, 20.6944
114, 6.47959, 4.64639, 83.9647, 36.346, 5.84748, 5.44259, 94.3395, 62.4415, 3.57851, 179.672, 165.361, 8.57038, 66.3531, 7.4699, 20.5164
115, 6.12445, 5.01299, 83.494, 34.2572, 6.4533, 5.85178, 90.0233, 56.4117, 5.50782, 173.817, 160.349, 13.0947, 66.5243, 5.6892, 17.8097
116, 6.43096, 5.03465, 94.5051, 37.4341, 6.3829, 5.89994, 98.1124, 71.7001, 5.11824, 196.795, 180.919, 11.0152, 72.3985, 5.37443, 20.3394
117, 6.45489, 4.71842, 75.8159, 37.3033, 6.2555, 5.68388, 84.8149, 62.3283, 2.96444, 162.884, 149.345, 3.03938, 65.8369, 2.37632, 16.6017
118, 6.42838, 4.90985, 80.5665, 37.4904, 6.22991, 5.72979, 87.9239, 58.7768, 3.34363, 167.997, 154.023, 7.14207, 64.6045, 7.42663, 15.8927
119, 6.06717, 4.99129, 79.0122, 31.9374, 5.86982, 5.63347, 85.9424, 51.6133, 3.14653, 156.561, 142.925, 5.20222, 63.9831, 6.25934, 15.7
120, 6.74782, 5.22885, 93.0522, 36.0509, 6.07647, 5.74279, 93.0818, 62.7304, 3.85216, 180.449, 165.21, 8.83749, 68.2626, 7.08293, 17.7363
121, 6.47732, 5.26534, 81.06, 32.1852, 6.15169, 5.79753, 90.0654, 58.7154, 4.91256, 168.065, 153.438, 4.9953, 66.9304, 4.97514, 18.1599
122, 6.86243, 5.1588, 85.908, 37.7118, 6.31503, 5.7903, 91.5206, 57.6008, 4.92337, 176.826, 158.443, 8.74994, 69.9516, 4.29158, 17.2774
123, 6.85457, 5.56544, 81.9624, 34.5212, 6.25432, 5.73923, 89.9731, 55.2374, 4.85221, 172.489, 154.086, 8.67741, 68.3156, 2.53661, 19.121
124, 5.67021, 4.96948, 82.5925, 37.0433, 5.89385, 5.534, 88.0104, 62.816, 2.75827, 170.324, 151.325, 1.98502, 59.0832, 9.31138, 19.6158
125, 6.40043, 4.93825, 95.8399, 44.6163, 6.32643, 5.74679, 99.0478, 76.6517, 4.07075, 205.797, 183.573, 7.40398, 66.7574, 11.0057, 21.2847
126, 6.7376, 4.83588, 96.7703, 52.3209, 6.15651, 5.66539, 95.763, 87.118, 4.0455, 212.181, 189.225, 6.27186, 71.2712, 2.18013, 22.3118
127, 6.89627, 4.88078, 96.5264, 51.6028, 6.20476, 5.62967, 98.0669, 75.7459, 2.98631, 202.551, 182.153, 7.58911, 74.0566, 2.82839, 21.1819
128, 6.79106, 5.39789, 91.8187, 42.8477, 6.54624, 5.88856, 100.463, 68.0417, 5.14656, 198.79, 182.243, 12.5685, 77.31, 2.18679, 20.9662
129, 6.91339, 5.45726, 91.5083, 40.178, 6.45007, 5.91738, 94.9219, 69.2247, 4.73906, 188.088, 172.539, 8.74251, 74.4074, 2.09672, 18.4177
130, 6.86641, 5.4561, 92.8661, 38.6093, 6.51988, 5.93457, 98.7853, 63.4625, 4.72003, 184.961, 171.895, 9.23687, 75.937, 5.42693, 17.4214
131, 7.27598, 5.6408, 94.3189, 41.5381, 6.71118, 6.06617, 102.598, 69.2235, 5.53453, 197.912, 183.344, 11.1563, 78.5584, 5.30757, 18.7316
