#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cycle, obs_G3d_cycle, obs_Rn3d_cycle, clm_Rn3d_cycle, clm_G3d_cycle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle
298, 4.54595, 4.08103, 48.1699, 26.588, 4.25516, 4.14909, 37.7138, 49.1347, -3.53555, 103.446, 81.076, -5.93585, 27.5223, 0.774237, 9.41718
299, 4.2647, 4.18869, 45.5771, 19.0177, 4.06432, 4.1793, 37.6789, 41.7315, -1.75508, 94.9861, 75.7536, -4.12699, 25.0973, 4.00583, 8.57577
300, 4.06272, 4.22263, 40.9284, 16.5174, 3.96296, 4.23424, 36.4101, 40.4039, -1.12973, 91.2016, 73.4075, -3.20417, 23.9135, 4.44457, 8.05207
301, 4.04092, 4.28142, 41.875, 16.51, 4.10627, 4.22131, 35.3891, 42.1998, -1.68265, 93.6765, 74.8914, -2.87398, 23.1779, 4.59679, 7.61435
302, 4.02295, 4.12029, 47.7517, 21.3371, 4.0627, 4.16562, 38.7105, 59.2118, -3.73949, 107.176, 87.3962, -8.59635, 23.7886, 5.67504, 9.24686
303, 4.02964, 3.79406, 47.2083, 24.4646, 4.11792, 4.00259, 39.929, 58.757, -5.83913, 106.687, 84.7783, -13.0688, 26.9931, 2.7047, 10.2312
304, 4.13324, 4.04426, 39.2037, 18.5881, 4.25724, 4.02539, 39.5678, 46.8035, -4.38121, 100.65, 80.2164, -7.00738, 26.8636, 3.11725, 9.58694
305, 4.03143, 3.4483, 43.3677, 25.9956, 3.86487, 3.933, 34.3996, 59.8446, -6.49397, 96.0093, 78.5172, -13.7401, 22.8793, 2.52202, 8.99829
306, 3.88311, 3.6938, 42.7982, 18.5901, 3.77768, 3.8792, 34.1832, 51.4813, -6.73436, 86.5719, 70.7281, -14.2799, 21.9484, 3.19948, 9.03528
307, 4.28396, 3.547, 49.8914, 22.5732, 4.13661, 3.87332, 38.587, 56.5749, -5.6341, 108.906, 87.8393, -8.4489, 25.6489, 3.3836, 9.55455
308, 4.51766, 3.72342, 43.961, 18.7073, 4.00091, 3.91813, 37.0473, 46.5682, -5.18587, 93.7971, 75.5098, -8.49504, 24.3025, 3.53718, 9.20764
309, 4.5255, 3.44852, 45.5451, 18.8159, 4.09427, 4.00838, 34.0852, 47.9186, -4.67214, 92.1275, 76.983, -5.02652, 24.9594, 0.433287, 8.69255
310, 4.54623, 3.58525, 43.0116, 20.7541, 4.04186, 4.02036, 34.3974, 47.0402, -5.0891, 90.0386, 77.3206, -4.43286, 23.297, 3.04101, 8.05941
311, 3.94102, 3.46953, 34.8573, 21.1113, 3.87487, 3.99289, 30.5592, 43.2081, -4.54158, 78.5432, 66.0217, -7.19743, 20.9266, 2.2632, 7.36933
312, 3.61743, 3.21926, 36.5657, 8.42391, 3.56049, 3.87283, 34.9901, 36.4728, -5.49177, 68.1195, 54.3693, -15.0889, 18.5875, 7.73305, 8.66959
313, 3.55165, 3.24778, 37.5955, 8.49058, 3.44123, 3.79677, 30.722, 33.3164, -5.23057, 65.0581, 52.3398, -11.6849, 18.9165, 4.2601, 7.54534
314, 3.71446, 3.34282, 41.6756, 17.619, 3.71993, 3.79792, 35.2882, 47.0429, -5.50938, 89.1503, 72.1529, -9.67912, 21.0911, 6.53128, 7.66585
315, 3.87981, 3.43804, 41.9722, 15.1486, 3.80555, 3.73803, 33.3106, 44.5051, -6.25365, 86.2485, 68.4793, -9.8446, 22.7056, 2.59951, 8.00545
316, 3.9049, 3.33033, 36.1942, 13.0364, 3.71571, 3.81166, 33.0746, 34.5918, -5.18673, 73.3727, 59.9813, -7.85818, 20.0103, 5.58872, 7.47563
317, 3.8712, 2.81527, 43.3876, 28.1833, 3.5375, 3.60227, 31.1122, 59.8278, -7.23113, 87.4252, 69.594, -18.2381, 20.7021, 1.70486, 8.70528
318, 3.73464, 2.69778, 36.6427, 21.3806, 3.41505, 3.39391, 29.2872, 53.217, -7.90267, 80.1512, 63.1998, -18.9994, 20.1437, 0.593564, 8.54994
319, 3.4057, 2.98246, 30.4149, 11.72, 3.29895, 3.39666, 30.0064, 36.933, -6.37245, 64.6403, 51.1748, -15.9841, 16.8505, 5.86181, 7.29413
320, 3.89702, 3.05528, 41.3083, 20.2639, 3.7378, 3.64014, 31.3588, 45.1446, -4.00353, 91.2623, 74.9193, -4.03204, 20.0384, 3.83698, 7.48338
321, 3.59422, 3.28833, 38.173, 17.2878, 3.69878, 3.73887, 30.8223, 42.8866, -5.15966, 79.8514, 66.4295, -6.89915, 20.3887, 2.82611, 7.60748
322, 3.55406, 3.16533, 38.9525, 18.4715, 3.75221, 3.65934, 31.8505, 51.1827, -6.81207, 88.5481, 72.2898, -10.2742, 21.093, 2.72839, 8.0291
