#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cyle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle, clm_Qstor3d_cycle, clm_Rnet3d_cycle
296, 5.99652, 4.33705, 71.1203, 11.2677, 5.76873, 5.49895, 40.6443, 37.81, 29.3192, 2.57729, 8.74777, -7.29675, 71.264
297, 5.85959, 4.58967, 65.8698, 8.20085, 5.412, 5.52043, 37.901, 26.0471, 25.1519, 5.54579, 7.2033, -6.03542, 58.1193
298, 6.06022, 4.50336, 63.6666, 15.5028, 5.46325, 5.48247, 38.2064, 34.8759, 24.293, 6.6328, 7.28057, -8.18934, 63.8766
299, 5.21946, 4.60178, 57.5385, 9.97562, 5.26598, 5.34637, 33.1005, 29.6944, 22.588, 4.04495, 6.46754, -7.63923, 54.8936
300, 4.94209, 4.49589, 49.6618, -2.55278, 5.10835, 5.41716, 33.4901, 16.8176, 21.6593, 7.34273, 4.48806, -0.68287, 49.8342
301, 4.74435, 4.51153, 54.0597, -11.554, 4.99364, 5.50666, 37.4459, 9.17869, 19.0686, 14.9898, 3.38756, 2.32777, 48.9992
302, 5.27046, 4.0182, 60.1542, 11.2894, 4.80899, 5.26055, 36.6113, 25.6722, 21.0959, 5.81718, 9.69825, -12.526, 48.6847
303, 5.98173, 3.99436, 63.4898, 8.89203, 5.28049, 5.10289, 40.0055, 36.6009, 24.7624, 5.28862, 9.95452, -15.2616, 61.3616
304, 6.04552, 4.18353, 60.3196, 11.5402, 5.46276, 5.18273, 33.8144, 24.9159, 26.1338, 0.172145, 7.50841, -6.48208, 53.1468
305, 5.77025, 4.05009, 48.5761, 6.97543, 5.05331, 5.29844, 30.096, 15.7444, 21.209, 3.32308, 5.56387, -1.50052, 44.505
306, 5.26038, 3.91585, 46.6878, -3.20796, 4.68024, 5.22478, 29.4049, 16.3573, 17.7308, 5.48579, 6.1883, -5.81738, 38.8403
307, 5.1845, 4.09941, 56.6575, 10.8351, 5.01695, 5.15011, 30.3991, 31.485, 21.1664, 2.71957, 6.51314, -8.20924, 53.6956
308, 5.08708, 3.99405, 52.1646, 8.42366, 4.45721, 5.05113, 28.7897, 15.8761, 16.552, 7.35909, 4.87865, -6.79252, 37.5638
309, 5.40047, 3.96832, 57.5234, 16.0615, 5.06587, 5.19676, 33.5831, 26.017, 20.1668, 7.51523, 5.90097, -3.32376, 56.7382
310, 5.21487, 3.99695, 54.5565, 8.80701, 4.99257, 5.20694, 29.3667, 18.47, 19.0293, 5.31458, 5.02284, -1.99349, 46.1112
311, 5.1793, 4.02194, 52.9713, 13.2044, 4.72037, 5.17451, 28.3325, 22.2522, 18.0346, 4.81262, 5.48535, -4.24916, 45.9452
312, 5.50791, 4.08309, 57.9325, 6.87918, 4.84321, 4.9858, 34.3446, 27.6899, 19.8985, 6.52536, 7.92073, -12.7775, 48.4238
313, 5.4632, 3.75373, 52.8053, 9.08419, 4.63615, 4.98589, 26.177, 15.9417, 18.355, 2.53439, 5.28762, -4.03581, 38.8691
314, 4.91352, 3.85696, 53.0476, -5.70239, 4.8618, 5.09426, 32.3273, 16.7323, 19.5326, 7.97463, 4.82006, -1.83571, 46.7124
315, 4.84481, 3.68379, 56.0071, 5.49399, 4.58174, 4.86378, 28.8359, 29.5402, 18.1348, 2.91172, 7.78938, -13.6595, 43.9889
316, 5.05067, 3.51367, 47.6118, 9.93098, 4.63993, 4.9162, 29.4368, 23.4524, 18.6417, 4.45669, 6.33841, -7.9727, 45.2411
317, 4.34359, 3.54917, 46.4033, 11.5113, 4.01125, 4.91012, 27.1202, 13.2509, 14.7087, 6.20074, 6.21079, -7.91869, 32.4156
318, 4.07786, 3.45355, 45.7552, 11.4565, 4.32065, 4.99988, 31.0938, 18.1153, 16.2548, 9.80197, 5.03699, -4.03448, 45.5118
319, 3.64155, 3.4318, 40.1066, 1.09481, 4.53627, 5.09954, 26.8644, 16.2089, 15.8503, 6.93288, 4.08123, -1.1994, 42.0954
320, 4.71199, 3.42431, 46.7673, 6.78009, 4.69578, 5.0804, 30.7041, 11.6368, 16.8521, 10.9759, 2.87615, 3.09888, 45.3334
321, 4.93334, 3.34805, 46.1543, 29.7508, 4.44789, 4.86862, 30.478, 20.3518, 15.7146, 8.27072, 6.49269, -9.74879, 40.0498
322, 4.46777, 3.22975, 45.299, 13.2211, 4.22722, 4.76595, 27.9449, 20.0264, 15.9591, 3.99591, 7.98981, -13.4641, 34.1047
323, 4.51255, 3.4033, 40.8082, 7.337, 3.88688, 4.68644, 24.5611, 18.1028, 14.2003, 3.96488, 6.39598, -10.747, 31.8072
324, 4.08597, 3.53973, 41.3599, -3.44835, 4.2287, 4.66824, 24.5245, 17.6992, 15.2424, 3.3554, 5.92669, -8.22597, 33.9545
