#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cyle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle, clm_Qstor3d_cycle, clm_Rnet3d_cycle
252, 10.1645, 9.74042, 103.71, 17.7651, 9.02784, 7.51529, 100.756, 24.9819, 72.7263, 16.9486, 11.0812, 0.281459, 125.99
253, 9.85782, 9.51784, 101.056, 23.0328, 8.80709, 7.2813, 96.6479, 21.399, 72.2612, 13.3242, 11.0625, -0.364991, 117.423
254, 11.1418, 9.49135, 96.4431, 22.6552, 8.94762, 7.18353, 93.8092, 22.1949, 73.9762, 9.79373, 10.0395, 0.237073, 116.171
255, 9.53549, 9.50073, 89.5769, 20.5163, 8.63971, 7.1692, 80.0711, 22.3745, 66.2195, 5.39254, 8.45914, 1.62044, 103.938
256, 10.0832, 9.61637, 94.1803, 17.5578, 8.98428, 7.20292, 92.2047, 28.0339, 71.5694, 10.9233, 9.71213, 2.734, 123.458
257, 10.2196, 9.6804, 87.7706, 25.4794, 8.47674, 6.9471, 89.2426, 21.3406, 70.3635, 7.81429, 11.0649, 0.302792, 110.835
258, 10.0591, 9.2791, 100.659, 35.5182, 8.38839, 6.95817, 93.4993, 22.2301, 70.6628, 11.8634, 10.9731, 1.36308, 116.863
259, 9.40084, 8.77658, 85.6084, 33.5202, 8.33513, 6.67721, 84.6239, 18.2102, 61.8041, 13.2361, 9.58368, -0.857472, 100.962
260, 9.62156, 8.53699, 89.7176, 20.2561, 8.32981, 6.64086, 78.307, 16.5291, 58.1995, 12.0711, 8.03642, -0.0422371, 94.5638
261, 9.84583, 8.42249, 93.9577, 17.2485, 8.75764, 6.71538, 89.3049, 21.6859, 65.4072, 15.6947, 8.20296, 1.39697, 112.937
262, 8.81815, 8.26551, 88.9839, 12.8356, 8.30685, 6.66296, 78.8453, 22.1007, 63.4059, 7.2032, 8.23622, 0.270203, 100.957
263, 8.77042, 8.14177, 87.5624, 20.3789, 8.03636, 6.50355, 77.0075, 21.8035, 58.8699, 10.6092, 7.52849, 1.115, 99.9412
264, 8.61713, 8.14614, 87.7012, 18.3572, 8.20819, 6.60458, 75.6779, 21.0967, 58.343, 10.3734, 6.96148, 1.35403, 98.2538
265, 9.00823, 8.34325, 80.854, 13.0791, 8.30317, 6.66874, 78.2425, 17.1353, 60.3537, 10.9768, 6.91195, 1.48959, 97.1747
266, 8.98903, 8.46031, 87.2827, 11.9135, 8.08531, 6.67851, 80.0825, 16.5454, 61.2854, 11.411, 7.38608, 0.868564, 97.2919
267, 8.33098, 8.19734, 96.9303, 14.4912, 7.8621, 6.57161, 79.314, 19.5934, 61.8715, 10.0456, 7.3969, 0.674589, 99.5048
268, 7.85085, 7.97452, 71.4855, 15.8565, 6.92293, 6.34742, 60.1513, 10.6246, 48.2976, 5.72679, 6.1269, -1.21955, 68.5482
269, 8.24129, 7.95355, 79.023, 6.91077, 7.75099, 6.54835, 73.7422, 13.2292, 55.8256, 11.8322, 6.08434, 1.29404, 88.9515
270, 7.57597, 7.85441, 79.9823, 12.8982, 8.10496, 6.96814, 81.9076, 9.48752, 55.1451, 20.3506, 6.41188, 2.52754, 94.1319
271, 8.54272, 7.82187, 81.1835, 6.47696, 8.2671, 6.8377, 80.1443, 15.7001, 61.7477, 10.4478, 7.94881, 0.953478, 97.0286
272, 8.11728, 7.5409, 76.6338, 13.2921, 7.43503, 6.57351, 74.5964, 13.7922, 50.881, 16.1929, 7.52256, -2.35781, 84.3879
273, 7.28385, 7.41009, 69.7664, 8.47122, 7.34815, 6.39372, 71.6801, 15.4131, 53.3972, 10.3506, 7.9323, -1.55726, 85.4094
274, 7.79611, 7.40833, 75.1263, 14.7522, 7.12907, 6.03472, 71.2927, 20.3005, 51.6506, 11.4108, 8.23142, -4.28138, 86.6784
275, 9.08525, 7.51327, 79.1385, 16.0993, 7.24726, 5.87539, 74.789, 20.5805, 56.8029, 9.43018, 8.55595, -2.72614, 92.8534
276, 9.15265, 8.00626, 78.5121, 17.5673, 7.82573, 6.12195, 74.3302, 20.4803, 60.0593, 6.92389, 7.34695, 0.139128, 96.0189
277, 9.37591, 8.07222, 80.5139, 11.7647, 7.61531, 6.19525, 80.1128, 12.6448, 56.9063, 15.7096, 7.49687, -0.105993, 92.1705
278, 8.49412, 7.93326, 77.0522, 13.0413, 7.23685, 5.85066, 70.7225, 18.6621, 56.3304, 6.22188, 8.1703, -1.92198, 87.0984
279, 8.30871, 7.70001, 65.7427, 15.2506, 7.07886, 5.74536, 65.6058, 14.9716, 50.4345, 7.91777, 7.25355, -1.13038, 79.5542
280, 7.48743, 7.63941, 63.8727, 16.8885, 6.83206, 5.78006, 63.9425, 13.7145, 47.9461, 9.66401, 6.33239, 0.591235, 78.3683
281, 7.64191, 7.57963, 61.047, 10.9591, 6.02355, 5.70209, 57.6899, 6.94456, 45.0629, 6.63443, 5.99259, -0.165841, 64.2327
282, 6.98944, 7.45076, 61.3512, 1.86726, 6.25963, 5.68231, 64.8268, 8.48723, 47.0608, 10.4849, 7.28107, -3.078, 70.5179
283, 6.73956, 7.06714, 62.4888, 2.71013, 6.35269, 5.77686, 60.2282, 8.58916, 41.8182, 10.9427, 7.46733, -3.02274, 65.1603
284, 7.01993, 6.46178, 65.8688, 17.8418, 6.36334, 5.60298, 59.2901, 13.113, 40.5944, 12.0525, 6.64315, -1.92734, 69.7566
285, 6.99527, 6.11632, 64.8859, 15.6731, 6.41649, 5.41327, 55.0881, 10.5929, 40.7282, 8.57276, 5.78717, -0.316928, 65.278
286, 7.94475, 5.89628, 72.0462, 18.8909, 6.81139, 5.36787, 66.5434, 14.3369, 43.5074, 17.483, 5.55291, -0.751878, 80.0255
287, 7.3509, 5.76624, 64.5476, 11.9751, 6.21714, 5.10755, 62.3036, 10.9075, 43.4903, 12.3114, 6.50187, -4.02422, 68.4139
288, 6.86232, 5.53, 71.2476, 12.5157, 6.29653, 4.98091, 63.3186, 15.6988, 47.2827, 8.64505, 7.39094, -4.22651, 75.2842
289, 6.32164, 5.23016, 68.8821, 21.0276, 6.12358, 4.76481, 62.1687, 15.1348, 47.5646, 7.86593, 6.73825, -4.0896, 72.399
290, 6.32655, 4.97266, 63.8843, 9.02515, 6.00939, 4.5482, 61.1268, 13.4531, 46.2277, 8.19022, 6.70881, -4.55187, 69.5551
291, 6.03596, 4.87771, 60.8867, 10.6954, 6.10801, 4.73914, 58.4082, 10.8508, 44.0492, 7.92964, 6.42935, -1.70845, 67.8832
292, 6.36689, 4.65149, 65.7193, 11.4096, 6.24941, 4.99782, 61.0709, 12.2006, 40.9366, 14.1025, 6.03178, 0.0601463, 73.624
293, 6.44084, 4.32591, 74.3626, 19.8856, 6.48295, 4.86911, 74.5664, 8.75475, 50.9457, 16.0176, 7.60307, -3.46092, 79.6025
294, 6.71367, 4.25097, 72.287, 25.3442, 6.74757, 4.63141, 65.1068, 20.3525, 55.4064, 1.61968, 8.08071, -3.11204, 82.7823
295, 6.6421, 4.29131, 61.746, 15.0425, 5.95715, 4.39355, 59.2722, 11.347, 41.8776, 9.70155, 7.69309, -6.6219, 63.0031
296, 5.99652, 4.33705, 71.1203, 11.2677, 6.16835, 4.44468, 60.7303, 18.53, 47.8024, 4.72898, 8.199, -5.22997, 74.093
297, 5.85959, 4.58967, 65.8698, 8.20085, 5.87349, 4.50231, 54.9451, 8.20632, 41.6216, 7.13481, 6.18874, -2.42731, 61.0363
298, 6.06022, 4.50336, 63.6666, 15.5028, 5.65354, 4.35421, 56.7368, 16.7018, 38.6213, 11.1116, 7.00395, -5.789, 66.3844
